freq	dB(S(2,1))
1.01249999999999996E10	-6.52631946814016217E0
1.01500000000000012E10	-6.47854790903677724E0
1.01750000000000007E10	-6.42893936956065115E0
1.02000000000000002E10	-6.37750224773164831E0
1.02249999999999996E10	-6.32424531932001077E0
1.02499999999999991E10	-6.26917778644860491E0
1.02750000000000008E10	-6.21230932904876632E0
1.03000000000000003E10	-6.15365015933398407E0
1.03249999999999997E10	-6.09321107946136120E0
1.03499999999999992E10	-6.03100354255477011E0
1.03750000000000009E10	-5.96703971726788396E0
1.04000000000000004E10	-5.90133255606756091E0
1.04249999999999998E10	-5.83389586741960819E0
1.04499999999999993E10	-5.76474439205909928E0
1.04749999999999988E10	-5.69389388352520420E0
1.05000000000000004E10	-5.62136119313656835E0
1.05249999999999999E10	-5.54716435957656984E0
1.05500000000000016E10	-5.47132270324819991E0
1.05749999999999988E10	-5.39385692554474794E0
1.06000000000000005E10	-5.31478921316535313E0
1.06250000000000000E10	-5.23414334758229405E0
1.06499999999999995E10	-5.15194481973914087E0
1.06750000000000012E10	-5.06822095002523554E0
1.06999999999999984E10	-4.98300101353085978E0
1.07250000000000001E10	-4.89631637053892366E0
1.07499999999999996E10	-4.80820060215047906E0
1.07750000000000012E10	-4.71868965087450754E0
1.08000000000000007E10	-4.62782196593247264E0
1.08250000000000002E10	-4.53563865293802593E0
1.08499999999999996E10	-4.44218362750727103E0
1.08749999999999991E10	-4.34750377223647799E0
1.09000000000000008E10	-4.25164909635031218E0
1.09250000000000003E10	-4.15467289717240984E0
1.09499999999999997E10	-4.05663192240349435E0
1.09749999999999992E10	-3.95758653200590960E0
1.10000000000000009E10	-3.85760085829097132E0
1.10250000000000004E10	-3.75674296258399698E0
1.10499999999999998E10	-3.65508498660406955E0
1.10749999999999993E10	-3.55270329644149774E0
1.10999999999999988E10	-3.44967861674829690E0
1.11250000000000004E10	-3.34609615247891723E0
1.11499999999999999E10	-3.24204569523321373E0
1.11750000000000016E10	-3.13762171096773468E0
1.11999999999999988E10	-3.03292340556015905E0
1.12250000000000005E10	-2.92805476444490997E0
1.12500000000000000E10	-2.82312456229322395E0
1.12749999999999995E10	-2.71824633850226594E0
1.13000000000000012E10	-2.61353833409603320E0
1.13249999999999984E10	-2.50912338554144965E0
1.13500000000000001E10	-2.40512877096244626E0
1.13749999999999996E10	-2.30168600430846348E0
1.14000000000000012E10	-2.19893057322114682E0
1.14250000000000007E10	-2.09700161665894402E0
1.14500000000000002E10	-1.99604153880237378E0
1.14749999999999996E10	-1.89619555638581083E0
1.14999999999999991E10	-1.79761117739646870E0
1.15250000000000008E10	-1.70043761005492322E0
1.15500000000000003E10	-1.60482510214487695E0
1.15749999999999997E10	-1.51092421208746330E0
1.15999999999999992E10	-1.41888501464203309E0
1.16250000000000009E10	-1.32885624573955452E0
1.16500000000000004E10	-1.24098439268051997E0
1.16749999999999998E10	-1.15541273771519326E0
1.16999999999999993E10	-1.07228036481544087E0
1.17249999999999988E10	-9.91721141182091337E-1
1.17500000000000004E10	-9.13862686642615785E-1
1.17749999999999999E10	-8.38825345505420472E-1
1.18000000000000016E10	-7.66721176577934571E-1
1.18249999999999988E10	-6.97652977854906275E-1
1.18500000000000005E10	-6.31713362777674980E-1
1.18750000000000000E10	-5.68983904905921545E-1
1.18999999999999995E10	-5.09534367294632595E-1
1.19250000000000012E10	-4.53422031818229954E-1
1.19499999999999984E10	-4.00691142137508116E-1
1.19750000000000001E10	-3.51372471996560298E-1
1.19999999999999996E10	-3.05483028119810385E-1


